--------------------------Scenario: 9 Clients--------------------------
Standard Deviation of ns: CPU = 215.07813077129126 | MEM = 15.419090668678901
Standard Deviation of c1: CPU = 15.612647723709028 | MEM = 55.043379951367335
Standard Deviation of c2: CPU = 16.27824318299022 | MEM = 58.84597196881888
Standard Deviation of c3: CPU = 13.80438135121585 | MEM = 65.06918415448754
Standard Deviation of c5: CPU = 6.465610036404697 | MEM = 78.94486055779562
Standard Deviation of c4: CPU = 5.647700315804908 | MEM = 66.36183584819558
Standard Deviation of c6: CPU = 5.340993170280477 | MEM = 47.03326852081264
Standard Deviation of c7: CPU = 8.09593960876617 | MEM = 46.14778211482809
Standard Deviation of c8: CPU = 5.91027493666662 | MEM = 51.42536130614084
--------------------------Scenario: 17 Clients--------------------------
Standard Deviation of ns: CPU = 406.3395418351794 | MEM = 25.71230546005173
Standard Deviation of c1: CPU = 5.907229220304938 | MEM = 61.38707209509314
Standard Deviation of c2: CPU = 4.878495418776203 | MEM = 68.9953802801318
Standard Deviation of c3: CPU = 6.574736223466556 | MEM = 71.28210496088286
Standard Deviation of c5: CPU = 6.676585740111613 | MEM = 84.90641387600792
Standard Deviation of c4: CPU = 6.712584805833757 | MEM = 68.7939574399301
Standard Deviation of c6: CPU = 17.566841671102345 | MEM = 56.63045290228895
Standard Deviation of c7: CPU = 24.280214106577077 | MEM = 58.21816772332521
Standard Deviation of c8: CPU = 26.97534740870021 | MEM = 58.44478112557465
Standard Deviation of c9: CPU = 29.59795305422319 | MEM = 67.78510223402
Standard Deviation of c11: CPU = 30.934457472243487 | MEM = 66.19724799105705
Standard Deviation of c10: CPU = 32.66039684575876 | MEM = 68.20748907823851
Standard Deviation of c12: CPU = 22.520241846393855 | MEM = 46.62653321875861
Standard Deviation of c13: CPU = 16.44027059484831 | MEM = 44.13399134269112
Standard Deviation of c14: CPU = 9.420434774970898 | MEM = 59.59224480108211
Standard Deviation of c15: CPU = 6.615884249906679 | MEM = 53.6425816237931
Standard Deviation of c16: CPU = 20.80254360653356 | MEM = 69.59019726624976
--------------------------Scenario: 33 Clients--------------------------
Standard Deviation of ns: CPU = 2644.4566780642967 | MEM = 107.19801562794919
Standard Deviation of c1: CPU = 22.271675768810493 | MEM = 97.24479495288868
Standard Deviation of c2: CPU = 15.488743095329918 | MEM = 78.7114429639211
Standard Deviation of c3: CPU = 7.349893402267231 | MEM = 81.41578628394304
Standard Deviation of c5: CPU = 24.54895239901061 | MEM = 88.54304413129705
Standard Deviation of c4: CPU = 24.50907427547519 | MEM = 87.3920241833388
Standard Deviation of c6: CPU = 13.960894071263997 | MEM = 97.27152589885964
Standard Deviation of c7: CPU = 14.589865966736488 | MEM = 82.92871951727956
Standard Deviation of c8: CPU = 14.765400010048744 | MEM = 81.66482936953753
Standard Deviation of c9: CPU = 12.783101218980134 | MEM = 97.16604448484576
Standard Deviation of c10: CPU = 12.931291502335233 | MEM = 83.6513580002791
Standard Deviation of c11: CPU = 13.240442849736668 | MEM = 87.80430275250777
Standard Deviation of c12: CPU = 5.3781530383400415 | MEM = 81.1292160401594
Standard Deviation of c13: CPU = 6.205918618167402 | MEM = 82.38939853943437
Standard Deviation of c14: CPU = 7.751140355865486 | MEM = 82.20565606572748
Standard Deviation of c15: CPU = 8.082878466583272 | MEM = 82.3709323646088
Standard Deviation of c16: CPU = 7.414357918723561 | MEM = 82.72740508822683
Standard Deviation of c18: CPU = 30.841899964842604 | MEM = 86.96202379871899
Standard Deviation of c17: CPU = 10.145627102651803 | MEM = 82.104474861263
Standard Deviation of c19: CPU = 25.409542671514384 | MEM = 81.84071110675806
Standard Deviation of c20: CPU = 28.93319316402299 | MEM = 81.68694667826512
Standard Deviation of c21: CPU = 12.68136538840305 | MEM = 79.97568622907612
Standard Deviation of c22: CPU = 32.40708255418049 | MEM = 75.48128352147876
Standard Deviation of c23: CPU = 26.129073526119008 | MEM = 76.85494575484788
Standard Deviation of c24: CPU = 19.59708430339688 | MEM = 76.2190456218947
Standard Deviation of c25: CPU = 10.952228652504813 | MEM = 69.88989472700986
Standard Deviation of c26: CPU = 6.861724685790027 | MEM = 94.10534175199825
Standard Deviation of c27: CPU = 14.198209924208868 | MEM = 79.69625512982057
Standard Deviation of c28: CPU = 13.354447558964853 | MEM = 79.4369587503982
Standard Deviation of c29: CPU = 16.11508454565147 | MEM = 80.32256852124698
Standard Deviation of c31: CPU = 11.85623919448046 | MEM = 89.28798985535498
Standard Deviation of c30: CPU = 13.194342467241675 | MEM = 97.80900366561835
Standard Deviation of c32: CPU = 7.795195784497074 | MEM = 90.0771716053073
--------------------------Scenario: 65 Clients--------------------------
Standard Deviation of ns: CPU = 4961.347466469266 | MEM = 167.18527701708365
Standard Deviation of c1: CPU = 26.36699087874837 | MEM = 110.97652183429385
Standard Deviation of c2: CPU = 13.312672475408533 | MEM = 111.57357560568497
Standard Deviation of c3: CPU = 25.707766484836622 | MEM = 111.58197309041456
Standard Deviation of c5: CPU = 28.273004836223823 | MEM = 112.80859550029865
Standard Deviation of c4: CPU = 4.752232486891551 | MEM = 113.39371934078845
Standard Deviation of c6: CPU = 15.212288737727796 | MEM = 111.82139672651601
Standard Deviation of c7: CPU = 18.8492156059609 | MEM = 111.0881565351254
Standard Deviation of c8: CPU = 15.990167966523465 | MEM = 110.84634353464257
Standard Deviation of c9: CPU = 15.292307434349688 | MEM = 109.9081228071173
Standard Deviation of c10: CPU = 14.820982849962713 | MEM = 111.4062767794498
Standard Deviation of c11: CPU = 14.18012567233365 | MEM = 109.5356933389038
Standard Deviation of c12: CPU = 6.597309635107905 | MEM = 108.49052400153181
Standard Deviation of c13: CPU = 7.972109843698844 | MEM = 108.55946154503037
Standard Deviation of c14: CPU = 6.425167947977875 | MEM = 108.63251267264953
Standard Deviation of c15: CPU = 7.225997553279408 | MEM = 108.88748044856902
Standard Deviation of c16: CPU = 12.86320391178003 | MEM = 107.21870350297738
Standard Deviation of c18: CPU = 31.869869611216124 | MEM = 117.2183415244649
Standard Deviation of c17: CPU = 23.970003887995777 | MEM = 108.62815516131165
Standard Deviation of c19: CPU = 34.6758693314081 | MEM = 107.95366293123429
Standard Deviation of c20: CPU = 34.34006000261192 | MEM = 108.4577710251027
Standard Deviation of c21: CPU = 32.74938925681233 | MEM = 107.60109889229935
Standard Deviation of c22: CPU = 29.73038301535989 | MEM = 107.99289744440374
Standard Deviation of c23: CPU = 11.600613481023093 | MEM = 106.94166081728568
Standard Deviation of c24: CPU = 10.830776749614959 | MEM = 107.80458141209724
Standard Deviation of c25: CPU = 5.740168345866599 | MEM = 108.65909860033275
Standard Deviation of c26: CPU = 15.22072979065064 | MEM = 108.72537572113691
Standard Deviation of c27: CPU = 16.36369210421852 | MEM = 108.40576384951144
Standard Deviation of c28: CPU = 17.58496167371757 | MEM = 108.49960337901105
Standard Deviation of c29: CPU = 17.269749920783127 | MEM = 109.45601744929044
Standard Deviation of c31: CPU = 32.39013037297367 | MEM = 107.28512755153903
Standard Deviation of c30: CPU = 31.521028245815923 | MEM = 109.02487388206417
Standard Deviation of c32: CPU = 8.56854112203472 | MEM = 107.53399985041636
Standard Deviation of c33: CPU = 6.192058534032838 | MEM = 106.72547562994274
Standard Deviation of c34: CPU = 6.527362539984666 | MEM = 105.07329212863752
Standard Deviation of c35: CPU = 4.661292273578457 | MEM = 103.47185135792971
Standard Deviation of c37: CPU = 29.437339868948754 | MEM = 112.51964089665182
Standard Deviation of c36: CPU = 11.847930693939558 | MEM = 105.56450493210805
Standard Deviation of c38: CPU = 39.862597239901 | MEM = 103.20020851291618
Standard Deviation of c39: CPU = 35.81555336777585 | MEM = 103.33168223122264
